state,year,Insects,"Weeds, grass, or brush",Nematodes,Pesticide_applied_acreage
ALABAMA,2017,1124965,2080369,152793.0,3736145
ALASKA,2017,408,11071,31.0,11591
ARIZONA,2017,746365,828911,51916.0,1706589
ARKANSAS,2017,3915540,6433092,371970.0,12529972
CALIFORNIA,2017,6513981,7007896,913554.0,17122320
COLORADO,2017,1593199,6435661,130782.0,8843066
CONNECTICUT,2017,24937,46468,3955.0,84894
DELAWARE,2017,279333,409649,26432.0,836550
FLORIDA,2017,1498918,1886519,360704.0,4592103
GEORGIA,2017,2646137,3420961,671621.0,7869127
HAWAII,2017,50380,93195,5040.0,157578
IDAHO,2017,1760905,3775387,293632.0,6879948
ILLINOIS,2017,8714608,21577782,1595798.0,34951159
INDIANA,2017,4204138,11410837,836056.0,17928386
IOWA,2017,8704278,22540781,1659332.0,35830885
KANSAS,2017,4903052,21736980,258451.0,29271583
KENTUCKY,2017,2234786,3748243,322990.0,7326868
LOUISIANA,2017,2419316,3157610,248249.0,7008846
MAINE,2017,111751,165095,7803.0,377651
MARYLAND,2017,612496,1130176,62787.0,2024838
MASSACHUSETTS,2017,34823,45819,3437.0,104853
MICHIGAN,2017,2171602,5919857,407101.0,9442672
MINNESOTA,2017,7867716,18000973,786555.0,28838683
MISSISSIPPI,2017,2891626,3950419,190521.0,7995757
MISSOURI,2017,4816682,10652295,819629.0,17716940
MONTANA,2017,983167,10671073,77559.0,12804119
NEBRASKA,2017,6272912,18529890,727147.0,27682627
NEVADA,2017,115703,257744,1879.0,378577
NEW HAMPSHIRE,2017,4629,16142,424.0,23795
NEW JERSEY,2017,147844,288226,21915.0,533171
NEW MEXICO,2017,295601,768068,25600.0,1112679
NEW YORK,2017,722397,1754911,63374.0,2786047
NORTH CAROLINA,2017,2712981,3944774,573559.0,7999048
NORTH DAKOTA,2017,5304802,22307700,455878.0,32546858
OHIO,2017,2746661,8723387,317088.0,12614232
OKLAHOMA,2017,2574970,8799347,93261.0,12203096
OREGON,2017,780023,2685756,115179.0,4411125
PENNSYLVANIA,2017,932802,2353564,81233.0,3601446
RHODE ISLAND,2017,4625,5570,865.0,13415
SOUTH CAROLINA,2017,1089759,1434252,264619.0,3156839
SOUTH DAKOTA,2017,3460526,15562274,248283.0,20031395
TENNESSEE,2017,1910918,3564799,178427.0,6420443
TEXAS,2017,7602727,20096246,532425.0,29641067
UTAH,2017,349542,589417,5944.0,971584
VERMONT,2017,18760,96667,3864.0,127324
VIRGINIA,2017,850995,1581538,170141.0,2927217
WASHINGTON,2017,1491976,4739126,250288.0,8388494
WEST VIRGINIA,2017,30609,133710,2994.0,176778
WISCONSIN,2017,1910264,6795580,272400.0,9497150
WYOMING,2017,283836,832477,7376.0,1170837
ALABAMA,2012,999678,1933831,261403.0,3590086
ALASKA,2012,548,15518,,16066
ARIZONA,2012,538806,752808,140349.0,1526823
ARKANSAS,2012,3674791,6186811,415881.0,12030118
CALIFORNIA,2012,5293093,6116162,725589.0,14173613
COLORADO,2012,1285988,5904526,114493.0,7584621
CONNECTICUT,2012,30727,54508,5657.0,104340
DELAWARE,2012,215943,397644,26017.0,709721
FLORIDA,2012,1301710,1846661,407959.0,4296986
