state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor,violations_per_inspection,pesticide_per_worker,FERI,cluster
NORTH CAROLINA,280.0,2017,106.0,7999048,67496,0.37857142857142856,118.51143771482755,59.44500457169949,0
NORTH DAKOTA,16.0,2012,7.0,32260565,27414,0.4375,1176.7916028306704,588.6145514153352,1
NORTH DAKOTA,14.0,2017,0.0,32546858,24143,0.0,1348.0867332145963,674.0433666072981,1
OHIO,10.0,2012,7.0,12194817,64589,0.7,188.80640666367339,94.75320333183669,0
OHIO,21.0,2017,9.0,12614232,58785,0.42857142857142855,214.58249553457514,107.50553348157328,0
OKLAHOMA,36.0,2012,8.0,10709798,51119,0.2222222222222222,209.50718910776814,104.86470566499518,0
OKLAHOMA,19.0,2017,1.0,12203096,42431,0.05263157894736842,287.5985953665952,143.82561347277127,0
OREGON,81.0,2012,166.0,4096137,99305,2.049382716049383,41.248043905140726,21.648713310595056,0
OREGON,23.0,2017,99.0,4411125,86240,4.304347826086956,51.1494086270872,27.726878226587075,2
PENNSYLVANIA,70.0,2012,15.0,3641936,65487,0.21428571428571427,55.61311405317086,27.913699883728288,0
PENNSYLVANIA,64.0,2017,63.0,3601446,61071,0.984375,58.97145944883824,29.97791722441912,0
RHODE ISLAND,13.0,2012,13.0,19812,1869,1.0,10.60032102728732,5.80016051364366,0
RHODE ISLAND,16.0,2017,15.0,13415,1759,0.9375,7.626492325184764,4.281996162592382,0
SOUTH CAROLINA,79.0,2012,23.0,2866811,23398,0.2911392405063291,122.52376271476194,61.407450977634134,0
SOUTH CAROLINA,140.0,2017,40.0,3156839,20938,0.2857142857142857,150.77079950329545,75.52825689450486,0
SOUTH DAKOTA,101.0,2012,7.0,19499290,27199,0.06930693069306931,716.9120188242215,358.4906628774573,1
SOUTH DAKOTA,121.0,2017,0.0,20031395,25914,0.0,772.9950991741915,386.49754958709576,1
TENNESSEE,40.0,2012,1.0,4787546,42737,0.025,112.02344572618574,56.024222863092874,0
TENNESSEE,43.0,2017,7.0,6420443,40056,0.16279069767441862,160.28667365688037,80.22473217727739,0
